TVL Loss   : 0.13788	0.10772	0.09254	0.08601	0.08436	0.08665	0.09127	0.09699	0.10348	0.11057
TVL MS-SSIM: 0.51024	0.64672	0.71537	0.75209	0.77244	0.78297	0.78682	0.78540	0.78043	0.77303
TVL PSNR   : 28.04487	28.35136	28.44629	28.44392	28.46060	28.37121	28.26499	28.24784	28.20648	28.16312

TVL Loss   : 0.15174	0.12437	0.10494	0.09341	0.09008	0.09477	0.10553	0.11935	0.13497	0.15324
TVL MS-SSIM: 0.44793	0.60113	0.69218	0.74505	0.77431	0.78739	0.78873	0.78107	0.76840	0.75265
TVL PSNR   : 27.91520	28.13651	28.18766	28.34863	28.37435	28.25999	28.04383	27.91415	27.96827	27.93031

TVL Loss   : 0.13668	0.10652	0.08594	0.07529	0.07641	0.08705	0.10275	0.12103	0.14119	0.16275
TVL MS-SSIM: 0.52821	0.66644	0.73350	0.75756	0.75665	0.74223	0.72221	0.70027	0.67889	0.65921
TVL PSNR   : 28.08236	28.25485	28.53478	28.60017	28.49261	28.29996	28.21690	28.20901	28.18490	28.14463
